JD1,JD2,JD3,JD4,JD5,JD6,JD7,JD8,JD9,JD10,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,LNS1,LNS2,LNS3,LNS4,LNS5,LNS6,LNS7,LNS8,LNS9,LNS10,LNS11,Nback1,Nback2,Nback3,Nback4,Nback5,Nback6,Nback7,Nback8,Nback9,Nback10,Rspan1,Rspan2,Rspan3,Rspan4,Rspan5,Rspan6,Rspan7,Rspan8,Rspan9,Rspan10
464,324,616,1200,666,854,966,894,832,690,1.15,3.875,4,3.3,6,6,6,4.625,8,8,2,3.73,3.66,5.53,5.96,5.83,5.02,7.38,7.36,7.35,2.773585,3.301887,2.846154,6.0238095,5.213115,4.728261,7.294118,5.37037,5.755102,8.80851,1.5,1.88,2.17,2.22,2.17,2.22,2.17,2.25,2.14,2.1,1.51,1.62,1.71,2.11,2.24,2.24,2.24,2.28,2.24,2.1,,1.83,2.04,2.74,2.67,2.89,3.04,3.59,3.48,3.11,3.11,3.96,3.77,4.04,3.96,4.29,4.33,4.33,4.21,4.3,4.11
702,870,766,1654,1356,2330,706,1186,2454,.,1.434783,4,4,3.75,6,6,6,5,8,8,1.88,3.49,3.49,5.28,6.2,6.15,5.49,8.92,8.61,9.31,2.8125,3.960784,3.86,5.0232555,4.6595745,6.3113205,6.47191,6.583334,7.25,8.390244,,,,,,,,,,,1.94,2.36,2.2,2.18,2.23,2.27,2.17,2.25,2.23,2.32,,2.46,3.59,4.3,4.48,4.78,5.04,4.7,5.41,5.67,6.26,2.77,3.96,3.8,3.86,3.75,4.1,4.11,4.47,4.16,4.44
1310,1136,1070,1168,2224,1534,1556,1354,2866,.,1.052632,3.5,4,3.1071435,6,6,6,4,8,8,2.13,3.47,3.57,5.11,5.32,5.23,4.9,7.17,6.93,8.55,2.605634,3.296296,4.15625,5.7077925,5.0581395,3.9117645,6.689656,7.795918,7.853658,7.809524,1.94,2.39,2.36,2.34,2.39,,2.5,,2.5,2.38,1.78,2.2,2.22,1.51,1.89,2.3,2.28,2.32,2.27,2.24,,2.19,3,3.93,4.85,5.89,6.81,7.52,8.07,8.11,8.5,3.18,4.52,4.41,4.33,3.89,4.29,4.54,4.07,4.5,4.58
732,754,1572,646,926,778,2520,912,2410,.,1.238095,3.857143,4,3.3,6,6,6,4.4,8,8,1.89,3.18,3.1,4.42,4.25,4.7,4.69,6.91,6.74,5.84,2.506667,4.162791,1.918367,5.492958,6.3611115,4.1896545,7.117648,5.034482,9.87234,6.923076,1.52,2.04,2.17,2.22,2.17,,1.99,2.17,2.12,,1.31,1.47,1.48,1.49,1.6,1.65,1.71,1.65,1.56,1.53,,1.75,1.44,2.15,1.78,2.41,2.63,2.5,2.59,2.81,2.7,3.06,3.4,3.66,3.54,3.4,3.72,3.69,3.72,3.69,3.72
820,764,874,848,800,2430,1286,1184,2074,.,1.318182,4,4,3.6176475,6,6,6,5,8,8,2.13,3.55,3.82,5.81,6.3,6.16,5.15,7.95,8.46,8.58,2.727273,3.454545,3.194444,4.7647065,4.728261,6.4024395,6.7,6.80851,7.627906,8.777778,,,,,,,,,,,1.62,2.02,2.25,2.31,2.28,2.38,2.27,2.53,2.42,2.32,,2.71,4.07,5.15,6.33,7.37,7.78,8.3,8.5,8.6,8.5,3.11,4.36,4.58,4.43,4.7,4.74,4.7,4.48,4.63,4.73
712,698,1350,850,920,2690,1398,2034,.,.,1.238095,4,4,3.6176475,6,6,6,4.82353,8,8,2.02,3.23,3.61,5.29,5.96,6.17,5.08,7.89,8.06,9.12,2.536232,3.116279,4,5.732877,5.2211535,4.959183,7.444444,6.77551,5.829788,9.888888,1.93,2.38,2.39,2.41,2.41,2.41,2.41,2.38,2.34,2.31,1.55,2.01,2.12,2.12,2.22,2.25,2.29,2.28,2.34,2.34,,2.29,3.52,4.19,5.11,5.74,6.37,7.11,7.41,7.7,7.93,3.03,3.86,4.45,4.16,4.53,3.86,4.5,3.93,4.23,4.5
640,1008,920,2030,1132,1186,2678,1960,712,.,1.238095,3.888889,4,3.6176475,6,6,6,4.625,8,8,1.84,3.15,3.14,5.22,6.81,8.13,4.18,5.08,6.86,7.27,2.638889,2.2,2.777778,5.414634,3.7258065,6.3250005,6.551724,4.222222,6.738462,4.123076,1.89,2.32,2.38,2.36,2.39,2.46,2.38,2.19,2.19,2.31,1.47,1.6,1.54,1.64,1.65,2.04,1.62,1.89,2.11,2.12,,2.13,3.37,3.59,3.67,4.11,3.93,3.22,3.38,3.44,3.63,2.66,3.33,3.66,3.43,3.66,4,3.66,3.73,3.69,3.92
726,746,774,796,2254,1032,1144,1832,.,.,1.052632,3.666667,4,3.46875,6,6,6,4.625,8,8,1.91,3.35,3.7,6,5.92,5.52,4.95,5.95,6.71,7.22,2.647059,3.906977,3.771429,3.8181825,6.305556,4.2155175,6.463414,5.428572,8.666666,6.36,1.89,2.25,2.25,2.28,2.22,2.22,2.25,2.25,2.34,2.34,1.24,1.85,2.2,2.2,2.18,2.24,2.22,2.2,2.23,2.2,,2,2.41,3.78,4.04,3.37,3.3,3.81,4.15,4.11,4.44,3.15,4.29,4.66,4.58,4.58,4.71,4.81,4.54,4.81,4.77
802,860,970,882,928,2386,1172,1152,784,.,1.318182,4,4,3.6176475,6,6,6,4.625,8,8,2.16,4.03,4.05,6.18,6.77,6.92,4.98,8.23,9.47,9.1,2.666667,2.54,4.125,4.9464285,4.836735,5.8695645,6.363636,7,8.586666,,1.93,2.28,2.34,2.33,2.46,2.54,2.41,2.44,2.36,2.38,1.89,2.36,2.4,2.45,2.51,2.47,2.42,2.44,2.47,2.45,,2.46,3.25,4.08,4.37,4.74,5.26,5.48,6.04,6.56,6.63,2.85,4.8,4.5,4.7,4.59,4.83,4.83,4.9,4.66,5.03
638,820,1688,960,2106,970,1372,2502,1390,.,1.318182,4,4,3.75,6,6,6,5.157894,8,8,1.79,3.21,3.71,5.36,5.77,5.88,5.25,8.29,7.68,8.46,2.222222,3.604651,2.84375,4.8888885,4.7142855,6.6375,6.658536,6.928572,7.74468,7.791666,1.88,2.32,2.32,2.31,2.28,2.28,2.28,2.31,2.39,2.34,1.43,1.65,1.69,2.15,2.24,2.22,2.22,2.25,2.3,2.36,,2.52,3.41,3.59,4.52,5.63,6.74,7.59,8.33,8.14,8.22,2.79,3.89,4,4.41,4.11,4.4,4.3,4.06,4.56,4.66
628,472,1172,586,1090,1418,798,1524,1366,.,1.05,3.428571,4,3.3,6,6,6,4.625,8,8,1.82,3.39,3.42,4.29,4.47,4.76,4.4,5.96,5.76,5.82,2.5,5,4.870968,5.2000005,6.5816325,4.6052625,7.2,4.984126,9.829788,5.066666,1.48,1.77,2.05,2.08,1.89,2.08,2.08,1.62,1.99,2.13,1.4,1.46,1.51,1.53,1.5,1.47,1.5,1.57,1.51,1.48,,2.21,2.89,2.89,2.41,2.26,2.74,3,2.93,2.81,2.96,2.63,3.06,3.33,3.18,3.73,3.16,3.09,3.06,3.07,3.33
676,764,886,740,1744,736,1526,978,2098,.,1.052632,3.571429,4,3.46875,6,6,6,4.82353,8,8,1.89,3.55,3.63,5.3,5.17,5.45,5,7.63,8.09,7.27,2.698113,3.97619,5.62069,5.2999995,4.6333335,4.117647,7.405406,5.884616,7.020408,8.292682,1.52,1.75,2.1,2.17,2.19,2.19,2.14,2.28,2.25,2.28,1.5,1.68,1.6,1.67,1.64,1.76,2.11,2.27,2.24,2.22,,2.29,2.63,3.22,3.33,3.48,3.63,3.63,3.96,3.67,3.04,2.83,3.95,4.12,4.04,4.26,4,3.96,4,4.36,4.29
1670,858,584,512,1572,920,1256,526,632,1562,1.052632,3.571429,4,3.46875,6,6,6,4.82353,8,8,1.86,,2.91,3.99,4.53,6.41,4.64,8.52,7.48,6.44,3.270833,3.028571,2.028571,5.059701,7.3928565,3.6818175,7.864406,8.181818,5,9.67347,1.93,2.29,2.22,2.25,2.28,2.25,2.18,2.34,2.22,2.25,1.51,1.95,2.18,2.1,1.67,1.66,1.72,1.68,1.63,2,,2.57,3.22,3.67,4.7,5.92,5.96,6.41,6.85,7.11,7.74,2.96,3.66,3.23,3.69,3.92,4,3.83,3.77,3.7,3.95
546,742,588,1512,998,788,1302,1810,.,.,1.238095,3.857143,4,3.1764705,6,6,6,4.266666,8,8,1.92,2.68,3.21,3.75,4.26,4.2,4.16,5.28,5.62,5.41,2.693333,4.657143,3.807692,5.8790325,4.1301375,4.303278,6.612904,6,5,4.086956,1.91,2.25,2.25,2.14,2.09,2.19,2.16,2.19,2.19,2.16,1.57,1.64,1.59,1.97,1.72,1.64,1.65,1.67,1.86,,,1.21,1.25,1.78,1.3,1.58,1.5,2.13,1.79,1.76,1.67,2.66,3.53,3.37,3.03,2.96,3.13,3.06,3.73,3.03,3.48
600,588,1500,684,806,2230,866,768,1206,.,1.238095,3.777778,4,3.46875,6,6,.,4.82353,8,8,1.88,2.94,3.31,4.83,5.11,5.33,4.61,6.71,7.17,7,2.909091,2.923077,2.757576,5.625,4.1484375,.,6.972222,8.095238,7.209302,8.266666,1.86,2.25,2.22,2.19,2.28,2.19,2.22,2.22,2.17,2.07,1.42,1.73,2.11,2.14,1.94,2.28,2.31,2.22,2.18,2.18,,,,,,,,,,,,2.79,3.74,3.83,,3.95,3.85,4,4.08,4.08,3.92
536,654,802,1224,658,976,2096,1062,1128,.,1.238095,3.857143,4,3.6176475,6,6,6,5,8,8,2.02,3.46,3.56,4.83,5.79,6.04,5.1,6.91,7.74,7.88,2.462687,3.536585,3.133333,5.7857145,5.2258065,6.030612,6.636364,6.09756,6.842106,9.272728,1.88,2.09,2.13,2.15,2.22,2.28,2.47,2.28,2.25,2.23,1.6,1.62,1.56,2.04,2.2,2.26,2.25,2.27,2.22,2.27,,2.38,2.89,3.19,3.11,3,2.89,3.26,3,2.89,3,2.86,4.07,3.7,3.75,3.78,4,3.96,4.16,3.71,4.52
1056,964,852,846,2792,1082,1738,2604,1774,.,1.238095,3.888889,4,3.8684205,6,6,6,5.157894,8,8,2.26,4.5,4.24,7.95,6.7,7.58,5.24,8.77,8.3,8.59,2.590909,3.729167,2.775,4.9044945,5.5624995,4.8818175,6.4,6.416666,7.526316,7.833334,2.07,2.54,2.44,2.59,2.53,2.56,2.57,2.53,2.56,2.53,1.84,2.44,2.4,2.42,2.45,2.45,2.4,2.49,2.45,2.4,,3.17,5.19,6.67,6.85,6.52,6,6.15,6.52,7.04,7.15,3.4,4.33,4.48,4.4,4.54,4.57,4.56,4.4,4.63,5
1624,810,1436,1156,948,1012,1998,850,1182,1990,1.15,3.4,4,3.3,6,6,6,4.625,8,8,1.77,3.31,3.53,4.4,4.47,5.7,4.25,6,6.74,7.29,2.125,2.571429,2.78125,5.4527025,5.040984,6.594339,6.244444,5.058824,6.82353,7.836734,1.92,2.19,2.19,2.19,2.31,2.25,2.22,2.28,2.22,2.22,1.8,2.17,2.23,2.23,2.17,2.22,2.32,2.26,2.23,2.43,,2.33,2.54,2.44,2.93,2.92,3.07,2.96,2.93,2.7,2.7,2.55,3.37,3.44,4.4,3.96,4,3.8,4.12,4.33,4.21
848,966,1192,1114,1138,2214,1856,1612,2274,.,1.238095,3.857143,4,3.46875,6,6,6,4.625,8,8,1.93,3.38,3.45,5.44,7.23,8.06,4.9,9.83,10.43,9.07,2.597403,3.547619,2.72973,4.5,4.953489,5.8846155,6.48718,7.644444,7.95122,5.866666,2,2.34,2.46,2.44,2.46,2.43,2.63,2.5,2.39,2.44,1.76,2.57,2.51,2.6,2.51,2.63,2.72,2.71,2.73,2.53,,2.38,3.33,4.04,4.37,4.59,4.63,4.78,5.48,6.52,7.33,3.16,3.81,4.33,4.25,4.21,4,4.41,4.4,4.52,3.63
906,690,978,1624,936,1072,2456,1088,1718,.,1.318182,4,4,3.75,6,6,6,4.82353,8,8,1.95,3.17,3.61,5.27,5.29,5.8,5.14,7.32,7.78,8.1,2.8,3.787234,3.540541,4.7823525,4.827273,3.447369,6.35955,6.727272,4.777778,4.82353,2.25,2.31,2.31,2.19,2.38,2.41,2.47,2.31,2.43,,1.79,2.13,2.18,2.17,2.2,2.14,2.2,2.22,2.14,2.17,,2.42,3,4.04,4.85,5.11,5.74,5.67,5.96,6.11,6.19,3.13,4.36,3.89,4.26,4.52,4.59,4.6,4.33,4.52,4.52
674,450,1198,814,816,2464,1234,820,2004,.,1.15,3.857143,4,3.46875,6,6,6,4.625,8,8,1.93,3.28,3.33,4.82,5.06,4.89,4.84,7.53,6.86,6.36,2.54321,4.073171,3.111111,5.14557,6.2777775,5.6388885,7.461538,6.677966,6.440678,8.210526,1.55,2.08,2.32,2.1,2.14,2.17,2.19,2.14,2.19,,1.42,1.54,1.6,1.61,1.54,1.6,1.64,1.63,1.61,1.6,,2.08,2.21,2.89,3.33,3.59,3.59,3.63,3.67,3.74,3.67,2.74,3.2,3.24,3.89,3.85,3.6,3.73,3.7,3.8,3.83
736,728,1432,770,1322,2030,1032,858,1670,.,1.1,3.75,4,3.6176475,6,6,6,4.625,8,8,2,3.26,3.48,4.91,5.25,5.42,4.95,7.47,7.41,7.75,2.876923,2.948276,2.74359,4.7823525,5.7980775,3.6,6.868422,4.816326,7.918368,6.97561,1.92,2.28,2.31,2.38,2.34,2.36,2.41,2.41,2.33,2.31,1.55,2.04,2.23,2.23,2.28,2.28,2.32,2.26,2.26,2.23,,2.67,3.59,4.26,4.52,5.11,6.26,7.63,7.3,8.33,8.33,3,3.57,3.76,3.72,3.6,4,4.06,3.96,4.45,3.63
944,1084,1192,1070,1800,1422,1406,1206,2716,.,1.318182,4,4,3.6176475,6,6,6,4.82353,8,8,1.98,3.91,3.68,6.44,6.28,6.7,4.87,9.75,9.93,9.71,2.602941,3.627451,2.84,5.3961045,4.071429,5.4473685,6.18919,4.765958,5.897436,8.428572,1.82,2.31,2.31,2.38,2.39,2.43,2.38,2.38,2.38,2.34,1.87,2.2,2.16,2.27,2.22,2.27,2.42,2.24,2.31,2.25,,2.29,2.96,3.41,4.59,5.7,7.79,6.33,6.44,6.96,7.41,3.03,4.33,4.55,4.53,4.74,4.66,4.56,4.55,4.6,4.5
872,654,754,902,1922,1022,1160,934,2288,.,1.238095,4,4,3.8684205,6,6,.,5.157894,8,8,2.03,4.11,3.63,5.83,5.84,6.53,5.49,8.86,9.49,9.03,2.536232,3.204545,.,4.7556825,5.478261,5.6428575,6.470588,7.72549,8.90909,6.976744,1.98,1.95,2.28,2.44,2.44,2.44,2.44,2.41,2.41,2.5,1.8,2.23,2.21,2.31,2.27,2.34,2.37,2.34,2.32,2.32,,2.26,2.78,2.89,3.07,3.93,5.19,6.37,7.74,8.44,8.33,3.13,4.5,4.13,4.36,4.56,4.22,4.63,4.48,4.66,4.43
862,830,950,1638,886,1514,1224,2940,1710,.,1.318182,4,4,3.6176475,6,6,6,6.137932,8,.,1.93,3.71,3.53,5.19,4.9,6.1,5,7.62,7.92,8.19,2.740741,3.891304,3.878049,5.1325305,6.0818175,5.6320755,7.238096,4.980392,8.695652,8.977778,1.88,2.28,2.31,2.33,2.25,2.36,2.33,2.42,2.36,2.39,1.39,1.51,1.61,1.76,1.7,1.81,2.25,2.58,2.53,2.51,,2.04,2.85,3.07,3.67,4,4.11,4.67,5.07,5.41,5.67,2.78,3.81,3.89,3.89,3.86,3.96,3.96,3.83,4.33,4.48
904,840,736,950,1560,990,862,1840,852,.,1,3.5,4,3.6176475,6,6,6,4.82353,8,8,4.07,1.91,3.52,5.86,5.71,5.56,4.85,8.77,9.44,8.56,3.861111,3.08046,.,5.574627,5.28,4.694445,7.057142,6.867924,7.071428,8.578948,1.88,2.39,2.33,2.25,2.32,2.42,2.36,2.38,,,1.74,2.23,2.28,2.29,2.31,2.27,2.26,2.35,2.24,2.29,,2.5,3.46,3.67,4.3,5.15,5.63,6.89,8.07,8.38,8.19,3,3.95,4.48,4.46,4.54,4.4,4.71,4.54,4.29,4.66
1018,900,1208,1180,1140,1374,1432,3270,.,.,1.238095,3.928571,.,3.46875,6,6,6,4.625,8,8,1.86,3.22,3.44,5.13,5.33,5.41,4.81,6.09,8.27,6.3,2.8,3.244444,3.190476,4.841772,5.3936175,6.397059,6.455696,6.52381,5.787234,8.913044,1.83,2.21,2.28,2.28,2.18,2.32,2.22,2.28,2.22,2.22,1.46,1.2,1.47,1.54,1.53,1.6,1.58,1.63,1.69,1.6,1.63,2.71,3.81,4.04,4.15,4.42,5.44,6.22,6.3,6.56,6.81,2.92,3.96,4.18,4.33,4.51,4.59,4.44,4.42,3.92,4.4
354,480,1056,520,620,1544,460,574,602,.,1.052632,3.6,4,3.1071435,6,6,6,4.625,8,8,1.95,3.09,3.53,4.97,5.06,4.58,4.69,6.97,7.41,6.73,2.786885,3.960784,3.355556,5.260563,5.3749995,4.0666665,6.285714,5.10204,9.268292,10.342858,1.4,1.6,1.98,2.05,1.9,1.61,1.66,1.66,1.64,,1.47,1.95,2.16,2.16,1.73,1.82,2.18,2.22,2.24,2.28,,1.19,1.71,2.05,2.29,2.79,2.95,3.46,3.33,3.17,3.25,2.75,3.96,4.4,4.5,4.4,4.43,4.5,4,4.5,4.25
